Date : 2026-07-30 22:38:47
Directory : d:\SocialNetworkApp\SocialNetworkApp\src
Total : 774 files,  109579 codes, 2194 comments, 13326 blanks, all 125099 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| Application\Auth\Commands                                                                                                                                          |          6 |        178 |          6 |         28 |        212 |
| Application\Auth\Commands\AdminLogin                                                                                                                               |          2 |         57 |          5 |         12 |         74 |
| Application\Auth\Commands\Login                                                                                                                                    |          2 |         35 |          0 |          6 |         41 |
| Application\Auth\Commands\Register                                                                                                                                 |          2 |         86 |          1 |         10 |         97 |
| Application\Behaviors                                                                                                                                              |          1 |         50 |          0 |         12 |         62 |
| Application\Conversations                                                                                                                                          |         34 |      1,110 |         16 |        239 |      1,365 |
| Application\Conversations\Commands                                                                                                                                 |         24 |        819 |          7 |        187 |      1,013 |
| Application\Conversations\Commands\AddMemberToConversation                                                                                                         |          2 |        109 |          3 |         24 |        136 |
| Application\Conversations\Commands\AssignAdminRole                                                                                                                 |          2 |         37 |          0 |         10 |         47 |
| Application\Conversations\Commands\BlockUser                                                                                                                       |          2 |         51 |          0 |         13 |         64 |
| Application\Conversations\Commands\CreateConversation                                                                                                              |          2 |         79 |          0 |         18 |         97 |
| Application\Conversations\Commands\KickMemberOut                                                                                                                   |          2 |         73 |          0 |         15 |         88 |
| Application\Conversations\Commands\LeaveConversation                                                                                                               |          2 |         72 |          0 |         15 |         87 |
| Application\Conversations\Commands\RemoveMemberFromConversation                                                                                                    |          2 |         41 |          0 |         13 |         54 |
| Application\Conversations\Commands\RevokeAdminRole                                                                                                                 |          2 |         37 |          0 |         10 |         47 |
| Application\Conversations\Commands\ToggleNotifications                                                                                                             |          2 |         45 |          4 |         10 |         59 |
| Application\Conversations\Commands\UnblockUser                                                                                                                     |          2 |         46 |          0 |         12 |         58 |
| Application\Conversations\Commands\UpdateConversation                                                                                                              |          2 |        126 |          0 |         27 |        153 |
| Application\Conversations\Commands\UploadConversationImage                                                                                                         |          2 |        103 |          0 |         20 |        123 |
| Application\Conversations\Queries                                                                                                                                  |         10 |        291 |          9 |         52 |        352 |
| Application\Conversations\Queries\GetConversationDetail                                                                                                            |          2 |         46 |          0 |          7 |         53 |
| Application\Conversations\Queries\GetConversationDetailByUserId                                                                                                    |          2 |         55 |          3 |         10 |         68 |
| Application\Conversations\Queries\GetConversationMembers                                                                                                           |          2 |         45 |          0 |         12 |         57 |
| Application\Conversations\Queries\GetConversations                                                                                                                 |          2 |         46 |          0 |          8 |         54 |
| Application\Conversations\Queries\SearchConversationsAndFriends                                                                                                    |          2 |         99 |          6 |         15 |        120 |
| Application\DTOs                                                                                                                                                   |         42 |        763 |          0 |         88 |        851 |
| Application\DTOs\Conversations                                                                                                                                     |          2 |        120 |          0 |         13 |        133 |
| Application\DTOs\Feeds                                                                                                                                             |          1 |         13 |          0 |          2 |         15 |
| Application\DTOs\Friends                                                                                                                                           |          3 |         33 |          0 |          6 |         39 |
| Application\DTOs\Groups                                                                                                                                            |          8 |        124 |          0 |         16 |        140 |
| Application\DTOs\Messages                                                                                                                                          |          4 |        126 |          0 |          9 |        135 |
| Application\DTOs\Notifications                                                                                                                                     |          1 |         24 |          0 |          2 |         26 |
| Application\DTOs\Posts                                                                                                                                             |          7 |        101 |          0 |         10 |        111 |
| Application\DTOs\Reels                                                                                                                                             |          2 |         41 |          0 |          3 |         44 |
| Application\DTOs\Schools                                                                                                                                           |          1 |         15 |          0 |          2 |         17 |
| Application\DTOs\Search                                                                                                                                            |          5 |         62 |          0 |          9 |         71 |
| Application\DTOs\Stories                                                                                                                                           |          3 |         34 |          0 |          6 |         40 |
| Application\DTOs\Users                                                                                                                                             |          5 |         70 |          0 |         10 |         80 |
| Application\Friend                                                                                                                                                 |         27 |        860 |         23 |        165 |      1,048 |
| Application\Friend\Commands                                                                                                                                        |         12 |        407 |         23 |         82 |        512 |
| Application\Friend\Commands\AcceptFriendRequest                                                                                                                    |          2 |         85 |          8 |         17 |        110 |
| Application\Friend\Commands\CancelFriendRequest                                                                                                                    |          2 |         43 |          0 |         11 |         54 |
| Application\Friend\Commands\RejectFriendRequest                                                                                                                    |          2 |         60 |          4 |         16 |         80 |
| Application\Friend\Commands\SendFriendRequest                                                                                                                      |          2 |         79 |          6 |         14 |         99 |
| Application\Friend\Commands\SyncAllFriends                                                                                                                         |          2 |         71 |          0 |          8 |         79 |
| Application\Friend\Commands\Unfriend                                                                                                                               |          2 |         69 |          5 |         16 |         90 |
| Application\Friend\Events                                                                                                                                          |          3 |        208 |          0 |         30 |        238 |
| Application\Friend\Events\FriendRequestCreated                                                                                                                     |          1 |         77 |          0 |         12 |         89 |
| Application\Friend\Events\FriendshipCreated                                                                                                                        |          1 |         86 |          0 |         12 |         98 |
| Application\Friend\Events\Unfriended                                                                                                                               |          1 |         45 |          0 |          6 |         51 |
| Application\Friend\Queries                                                                                                                                         |         12 |        245 |          0 |         53 |        298 |
| Application\Friend\Queries\GetFollowees                                                                                                                            |          2 |         42 |          0 |         11 |         53 |
| Application\Friend\Queries\GetFriendRecommendations                                                                                                                |          2 |         30 |          0 |          6 |         36 |
| Application\Friend\Queries\GetFriends                                                                                                                              |          2 |         45 |          0 |         12 |         57 |
| Application\Friend\Queries\GetIncomingFriendRequests                                                                                                               |          2 |         68 |          0 |         12 |         80 |
| Application\Friend\Queries\GetMutualFriends                                                                                                                        |          2 |         30 |          0 |          6 |         36 |
| Application\Friend\Queries\GetShortestPath                                                                                                                         |          2 |         30 |          0 |          6 |         36 |
| Application\Groups                                                                                                                                                 |         41 |      1,511 |         19 |        254 |      1,784 |
| Application\Groups\Commands                                                                                                                                        |         26 |        949 |         10 |        162 |      1,121 |
| Application\Groups\Commands\AssignGroupRole                                                                                                                        |          2 |        103 |          0 |         18 |        121 |
| Application\Groups\Commands\CreateGroup                                                                                                                            |          2 |         70 |          1 |         11 |         82 |
| Application\Groups\Commands\CreateGroupRule                                                                                                                        |          2 |         57 |          1 |         11 |         69 |
| Application\Groups\Commands\DeleteGroupRule                                                                                                                        |          2 |         58 |          1 |         11 |         70 |
| Application\Groups\Commands\ExecuteReportedContent                                                                                                                 |          2 |         95 |          0 |         15 |        110 |
| Application\Groups\Commands\JoinGroup                                                                                                                              |          2 |         75 |          3 |         13 |         91 |
| Application\Groups\Commands\LeaveGroup                                                                                                                             |          2 |         52 |          0 |         10 |         62 |
| Application\Groups\Commands\ReportGroupPost                                                                                                                        |          2 |         89 |          0 |         15 |        104 |
| Application\Groups\Commands\ReviewGroupJoinRequest                                                                                                                 |          2 |         83 |          3 |         13 |         99 |
| Application\Groups\Commands\ReviewGroupPost                                                                                                                        |          2 |         77 |          0 |         13 |         90 |
| Application\Groups\Commands\UpdateGroup                                                                                                                            |          2 |         64 |          0 |         11 |         75 |
| Application\Groups\Commands\UpdateGroupRule                                                                                                                        |          2 |         66 |          1 |         12 |         79 |
| Application\Groups\Commands\UploadGroupCoverPhoto                                                                                                                  |          2 |         60 |          0 |          9 |         69 |
| Application\Groups\Events                                                                                                                                          |          1 |         80 |          0 |         13 |         93 |
| Application\Groups\Events\GroupJoinRequestAccepted                                                                                                                 |          1 |         80 |          0 |         13 |         93 |
| Application\Groups\Queries                                                                                                                                         |         14 |        482 |          9 |         79 |        570 |
| Application\Groups\Queries\GetGroupDetail                                                                                                                          |          2 |         57 |          0 |         10 |         67 |
| Application\Groups\Queries\GetGroupInsights                                                                                                                        |          2 |        123 |          9 |         22 |        154 |
| Application\Groups\Queries\GetGroupJoinRequests                                                                                                                    |          2 |         74 |          0 |         10 |         84 |
| Application\Groups\Queries\GetGroupMembers                                                                                                                         |          2 |         66 |          0 |          9 |         75 |
| Application\Groups\Queries\GetGroupRules                                                                                                                           |          2 |         40 |          0 |          8 |         48 |
| Application\Groups\Queries\GetGroups                                                                                                                               |          2 |         38 |          0 |         10 |         48 |
| Application\Groups\Queries\GetReportedContents                                                                                                                     |          2 |         84 |          0 |         10 |         94 |
| Application\Messages                                                                                                                                               |         22 |        587 |          8 |        135 |        730 |
| Application\Messages\Commands                                                                                                                                      |         14 |        384 |          5 |         90 |        479 |
| Application\Messages\Commands\ForwardMessage                                                                                                                       |          2 |         54 |          0 |         15 |         69 |
| Application\Messages\Commands\InvokeMessage                                                                                                                        |          2 |         39 |          0 |         13 |         52 |
| Application\Messages\Commands\MarkMessagesAsSeen                                                                                                                   |          2 |         39 |          0 |         11 |         50 |
| Application\Messages\Commands\ReactToMessage                                                                                                                       |          2 |         44 |          0 |         11 |         55 |
| Application\Messages\Commands\SendMessage                                                                                                                          |          2 |        108 |          5 |         18 |        131 |
| Application\Messages\Commands\TogglePinMessage                                                                                                                     |          2 |         50 |          0 |         11 |         61 |
| Application\Messages\Commands\UpdateMessage                                                                                                                        |          2 |         50 |          0 |         11 |         61 |
| Application\Messages\Queries                                                                                                                                       |          8 |        203 |          3 |         45 |        251 |
| Application\Messages\Queries\GetFilesByConversationId                                                                                                              |          2 |         48 |          0 |         11 |         59 |
| Application\Messages\Queries\GetMessagesAround                                                                                                                     |          2 |         52 |          3 |         11 |         66 |
| Application\Messages\Queries\GetPinnedMessages                                                                                                                     |          2 |         51 |          0 |         11 |         62 |
| Application\Messages\Queries\SearchMessages                                                                                                                        |          2 |         52 |          0 |         12 |         64 |
| Application\Notifications                                                                                                                                          |          5 |        108 |          0 |         22 |        130 |
| Application\Notifications\Commands                                                                                                                                 |          3 |         37 |          0 |         12 |         49 |
| Application\Notifications\Commands\MarkNotificationAsSeen                                                                                                          |          3 |         37 |          0 |         12 |         49 |
| Application\Notifications\Queries                                                                                                                                  |          2 |         71 |          0 |         10 |         81 |
| Application\Notifications\Queries\GetPagedNotifications                                                                                                            |          2 |         71 |          0 |         10 |         81 |
| Application\Posts                                                                                                                                                  |         40 |      1,923 |         11 |        290 |      2,224 |
| Application\Posts\Commands                                                                                                                                         |         18 |        866 |          9 |        139 |      1,014 |
| Application\Posts\Commands\CreateComment                                                                                                                           |          2 |        114 |          1 |         17 |        132 |
| Application\Posts\Commands\CreatePost                                                                                                                              |          2 |        253 |          2 |         36 |        291 |
| Application\Posts\Commands\MarkLatestFeedAsSeen                                                                                                                    |          2 |         31 |          0 |          8 |         39 |
| Application\Posts\Commands\ReactToComment                                                                                                                          |          2 |         69 |          0 |         11 |         80 |
| Application\Posts\Commands\ReactToPost                                                                                                                             |          2 |         76 |          0 |         13 |         89 |
| Application\Posts\Commands\SavePost                                                                                                                                |          2 |         60 |          0 |         11 |         71 |
| Application\Posts\Commands\SharePost                                                                                                                               |          2 |         68 |          6 |         13 |         87 |
| Application\Posts\Commands\UnsavePost                                                                                                                              |          2 |         48 |          0 |          9 |         57 |
| Application\Posts\Commands\UpdatePost                                                                                                                              |          2 |        147 |          0 |         21 |        168 |
| Application\Posts\Events                                                                                                                                           |          2 |        192 |          2 |         28 |        222 |
| Application\Posts\Events\CommentCreated                                                                                                                            |          1 |        110 |          2 |         14 |        126 |
| Application\Posts\Events\PostCreated                                                                                                                               |          1 |         82 |          0 |         14 |         96 |
| Application\Posts\Queries                                                                                                                                          |         20 |        865 |          0 |        123 |        988 |
| Application\Posts\Queries\GetComments                                                                                                                              |          2 |        111 |          0 |         17 |        128 |
| Application\Posts\Queries\GetDetailPost                                                                                                                            |          2 |         32 |          0 |          7 |         39 |
| Application\Posts\Queries\GetFeedPosts                                                                                                                             |          2 |         35 |          0 |          8 |         43 |
| Application\Posts\Queries\GetPossibleTags                                                                                                                          |          2 |         46 |          0 |          9 |         55 |
| Application\Posts\Queries\GetPostMediasByGroup                                                                                                                     |          2 |         68 |          0 |         11 |         79 |
| Application\Posts\Queries\GetPostMediasByUser                                                                                                                      |          2 |         68 |          0 |         11 |         79 |
| Application\Posts\Queries\GetPostsByGroup                                                                                                                          |          2 |        175 |          0 |         21 |        196 |
| Application\Posts\Queries\GetPostsByPerson                                                                                                                         |          2 |        141 |          0 |         13 |        154 |
| Application\Posts\Queries\GetSavedPosts                                                                                                                            |          2 |        151 |          0 |         17 |        168 |
| Application\Posts\Queries\SearchPosts                                                                                                                              |          2 |         38 |          0 |          9 |         47 |
| Application\Reels                                                                                                                                                  |         25 |        845 |          1 |        153 |        999 |
| Application\Reels\Commands                                                                                                                                         |         13 |        441 |          0 |         81 |        522 |
| Application\Reels\Commands\CreateReel                                                                                                                              |          2 |        115 |          0 |         19 |        134 |
| Application\Reels\Commands\CreateReelComment                                                                                                                       |          2 |        101 |          0 |         17 |        118 |
| Application\Reels\Commands\DeleteReel                                                                                                                              |          2 |         46 |          0 |          9 |         55 |
| Application\Reels\Commands\MarkStoryAsSeen                                                                                                                         |          2 |         59 |          0 |         11 |         70 |
| Application\Reels\Commands\RecordReelView                                                                                                                          |          2 |         46 |          0 |         11 |         57 |
| Application\Reels\Commands\ToggleLikeReel                                                                                                                          |          3 |         74 |          0 |         14 |         88 |
| Application\Reels\Queries                                                                                                                                          |         12 |        404 |          1 |         72 |        477 |
| Application\Reels\Queries\GetRecommendedReels                                                                                                                      |          2 |         75 |          1 |         11 |         87 |
| Application\Reels\Queries\GetReelById                                                                                                                              |          2 |         58 |          0 |         10 |         68 |
| Application\Reels\Queries\GetReelComments                                                                                                                          |          2 |         97 |          0 |         16 |        113 |
| Application\Reels\Queries\GetReelsByUser                                                                                                                           |          2 |         74 |          0 |         14 |         88 |
| Application\Reels\Queries\GetTopReels                                                                                                                              |          2 |         60 |          0 |         13 |         73 |
| Application\Reels\Queries\SearchReels                                                                                                                              |          2 |         40 |          0 |          8 |         48 |
| Application\Schools                                                                                                                                                |          8 |        230 |          0 |         40 |        270 |
| Application\Schools\Commands                                                                                                                                       |          6 |        188 |          0 |         32 |        220 |
| Application\Schools\Commands\AddSchool                                                                                                                             |          2 |         71 |          0 |         10 |         81 |
| Application\Schools\Commands\DeleteSchool                                                                                                                          |          2 |         46 |          0 |         11 |         57 |
| Application\Schools\Commands\UpdateSchool                                                                                                                          |          2 |         71 |          0 |         11 |         82 |
| Application\Schools\Queries                                                                                                                                        |          2 |         42 |          0 |          8 |         50 |
| Application\Schools\Queries\GetSchools                                                                                                                             |          2 |         42 |          0 |          8 |         50 |
| Application\Shared                                                                                                                                                 |          1 |         32 |          3 |          6 |         41 |
| Application\Stories                                                                                                                                                |         16 |        454 |          0 |        102 |        556 |
| Application\Stories\Commands                                                                                                                                       |         12 |        294 |          0 |         66 |        360 |
| Application\Stories\Commands\CreateStory                                                                                                                           |          2 |         62 |          0 |         11 |         73 |
| Application\Stories\Commands\DeleteStory                                                                                                                           |          2 |         42 |          0 |         12 |         54 |
| Application\Stories\Commands\MarkStoryAsSeen                                                                                                                       |          3 |         62 |          0 |         15 |         77 |
| Application\Stories\Commands\ToggleStoryLike                                                                                                                       |          3 |         74 |          0 |         18 |         92 |
| Application\Stories\Commands\UploadStoryMedia                                                                                                                      |          2 |         54 |          0 |         10 |         64 |
| Application\Stories\Queries                                                                                                                                        |          4 |        160 |          0 |         36 |        196 |
| Application\Stories\Queries\GetStoriesByUserId                                                                                                                     |          2 |         61 |          0 |         14 |         75 |
| Application\Stories\Queries\GetStoryTimeline                                                                                                                       |          2 |         99 |          0 |         22 |        121 |
| Application\Users                                                                                                                                                  |         24 |        643 |          5 |        129 |        777 |
| Application\Users\Commands                                                                                                                                         |         10 |        322 |          4 |         57 |        383 |
| Application\Users\Commands\FollowUser                                                                                                                              |          2 |         57 |          0 |         12 |         69 |
| Application\Users\Commands\UnfollowUser                                                                                                                            |          2 |         50 |          0 |         11 |         61 |
| Application\Users\Commands\UpdateInfo                                                                                                                              |          2 |         86 |          3 |         13 |        102 |
| Application\Users\Commands\UploadAvatar                                                                                                                            |          2 |         75 |          1 |         11 |         87 |
| Application\Users\Commands\UploadCoverPhoto                                                                                                                        |          2 |         54 |          0 |         10 |         64 |
| Application\Users\Queries                                                                                                                                          |         14 |        321 |          1 |         72 |        394 |
| Application\Users\Queries\GetPersonalInfo                                                                                                                          |          2 |         96 |          0 |         17 |        113 |
| Application\Users\Queries\GetTodayBirthdays                                                                                                                        |          2 |         25 |          0 |          8 |         33 |
| Application\Users\Queries\GetUpcomingBirthdays                                                                                                                     |          2 |         24 |          0 |          8 |         32 |
| Application\Users\Queries\GetUserHoverCard                                                                                                                         |          2 |         73 |          1 |         13 |         87 |
| Application\Users\Queries\IsBlockedByUserId                                                                                                                        |          2 |         32 |          0 |          9 |         41 |
| Application\Users\Queries\IsBlockingUser                                                                                                                           |          2 |         31 |          0 |          9 |         40 |
| Application\Users\Queries\SearchUsers                                                                                                                              |          2 |         40 |          0 |          8 |         48 |
| Application\bin                                                                                                                                                    |          1 |        576 |          0 |          0 |        576 |
| Application\bin\Debug                                                                                                                                              |          1 |        576 |          0 |          0 |        576 |
